"study_id","arm_id","n_arm","pathogen_scope","resistance_class","resistance_class_source","route","modality","clinical_success_n","clinical_success_definition","adverse_event_n","microbio_eradication_n","mortality_n","los_days","resistance_emergence_n","study_design","data_provenance","rob_source","publication_year","journal_tier","geographic_source","extraction_citation","extraction_status","incomplete_reason","study_arm_id"
"Jault2019_PhagoBurn","Jault2019_PhagoBurn_phage",13,"Pseudomonas-only","not-classifiable","not-classifiable","topical/local","phage monotherapy (vs. standard-of-care wound care comparator arm, NOT antibiotic monotherapy -- see notes)",NA,"Primary endpoint was TIME to sustained 2-quadrant reduction in bacterial burden (continuous/time-to-event), not a binary success proportion at a fixed timepoint",3,NA,1,NA,NA,"RCT","independently-extracted","independently-rated -- RoB2 (High risk), see quality_reports/risk_of_bias_assessment_phage_therapy_mdr_pseudomonas.md",2019,"high-tier (Lancet Infectious Diseases)","Multicentre Europe (9 burn centres; NCT02116010)","From discovery-phase literature review (annotated_bibliography.md Round 1-2, PMID 30292481 confirmed via PubMed): n=27 (13 phage cocktail vs 14 standard-of-care), P. aeruginosa-infected burn wounds (enrollment criterion), MDR not a strict enrollment criterion (broader population). Phage arm UNDERPERFORMED comparator: median 144h (95% CI 48-NR) vs 47h (23-122) to reach primary endpoint. Declining phage titer in the therapeutic cocktail over the trial period was implicated. Comparator is standard wound care (silver sulfadiazine dressing + usual antibiotics per clinical practice in both arms), NOT a clean antibiotic-monotherapy arm -- both arms may have received background antibiotics per local practice, not documented as antibiotic-free vs antibiotic-only. clinical_success_n left NA because the primary outcome is time-to-event, not a binary proportion at a single timepoint; adverse_event_n/eradication/mortality not extracted from secondary sources reviewed to date. UPDATED (2026-07-22) via direct PubMed abstract retrieval (PMID 30292481, full structured abstract, not just title/summary): safety population for the PP1131/phage arm is n=13 (matches n_arm already recorded); adverse events occurred in 3 of 13 analysable PP1131 participants (23%), versus 7 of 13 in the standard-of-care arm; one participant in each arm died after follow-up, determined not related to treatment (mortality_n=1 for the phage arm, all-cause per this review's standard convention). Eradication/bacterial-burden data are NOT extracted as microbio_eradication_n: the trial's own outcome framing is 'maximal bacterial burden' (a burden-increase/failure metric, 6 of 12 analysable PP1131 participants) and time-to-event bacterial-burden reduction (median 144h vs 47h, HR 0.29, 95% CI 0.10-0.79, p=0.018) -- neither maps cleanly onto this review's eradication definition, so left NA rather than force a mismatched proxy.","COMPLETE","Clinical success remains NOT extractable as a binary proportion: the trial's primary endpoint is time-to-event bacterial-burden reduction, not a fixed-timepoint success count, per pre-specified exclusion rule (Methods, Data Extraction). This is a structural property of the trial's own outcome design, not a completeness gap -- AE and mortality data are now fully extracted (see extraction_citation).","Jault2019_PhagoBurn_phage"
"Leitner2021","Leitner2021_pyophage",28,"mixed-pathogen-with-Pseudomonas-subgroup","not-classifiable","not-classifiable","other (intravesical instillation)","phage monotherapy (vs. placebo and vs. systemic-antibiotic comparator arms -- see notes)",5,"Normalization of urine culture (modified ITT)",6,NA,NA,NA,NA,"RCT","independently-extracted","independently-rated -- RoB2 (Some concerns), see quality_reports/risk_of_bias_assessment_phage_therapy_mdr_pseudomonas.md",2021,"high-tier (Lancet Infectious Diseases)","Georgia (Tbilisi; NCT03140085)","WebSearch+WebFetch (2026-07-19) of PubMed abstract PMID 32949500 (full text gated, not in local PDF corpus): modified-ITT arms are Pyophage n=28, placebo n=32, systemic-antibiotics n=37 (of 113 randomized) -- REVISES the discovery-phase n=37/38/38 randomized figures (those were randomization targets, not modified-ITT analysis n). Normalization of urine culture: Pyophage 5/28 (18%), placebo 9/32 (28%), antibiotics 13/37 (35%) -- phage NON-INFERIOR to antibiotics but NOT superior to placebo. AEs: Pyophage 6/28 (21%), placebo 13/32 (41%), antibiotics 11/37 (30%) -- phage numerically fewest AEs, not statistically significant. CRITICAL CAVEAT: Pyophage cocktail covers 6 pathogen types (Enterococcus, E. coli, Proteus mirabilis, P. aeruginosa, Staphylococcus, Streptococcus) -- P. aeruginosa is confirmed as ONE of the enrolled/covered pathogens but NO Pseudomonas-specific subgroup breakdown (n, cure rate, AE rate) was located in the abstract or secondary sources consulted. All numbers above are TRIAL-WIDE (all 6 pathogens pooled), not Pseudomonas-specific.","EXTRACTION_INCOMPLETE","MAJOR DOWNGRADE (2026-07-19, supersedes prior 'single most important antibiotic-monotherapy comparator candidate' framing): coded here as trial-wide aggregate (pathogen_scope=mixed-pathogen-with-Pseudomonas-subgroup) because no Pseudomonas-specific breakdown was found -- this row is NOT usable in the primary Pseudomonas-specific proportion pooling as extracted; it would need the full-text Table 1/baseline-characteristics table (not accessed, Lancet ID is subscription-gated with no PMC mirror located) to isolate the Pseudomonas subgroup specifically. REMAINING WORK: obtain full text (institutional access or interlibrary loan) to check for a per-pathogen outcome breakdown before this can inform the monotherapy stratum. Two additional arm rows (placebo, systemic-antibiotics) also need adding once/if a Pseudomonas subgroup is confirmed -- not added here since the aggregate-only data would misrepresent per-arm structure for this project's schema. UPDATE (2026-07-22): direct PubMed abstract retrieval (PMID 32949500, full structured abstract) confirms the trial's own reported outcomes (urine-culture normalisation, adverse events) are for the WHOLE UTI trial population across multiple uropathogens (113 randomized: 37 Pyophage, 38 placebo, 38 antibiotics; 97 analysed: 28/32/37), with no Pseudomonas-specific breakdown anywhere in the abstract. This closes off the abstract as a route to resolving the Pseudomonas-subgroup isolation problem -- full text or author correspondence remains the only remaining option, and no PMC full text is available (confirmed via find_related_articles, zero results). Still excluded from pooling on this basis.","Leitner2021_pyophage"
"ArmataAP_PA02","ArmataAP_PA02_highdose",10,"Pseudomonas-only","not-classifiable","not-classifiable","inhaled/nebulized","phage+antibiotic combination",NA,"TEAE incidence reported, not a clinical-success proportion; efficacy/bacterial-density comparison not located in CT.gov summary fields reviewed",5,NA,0,NA,NA,"RCT","independently-extracted","independently-rated -- RoB2 (Low risk), see quality_reports/risk_of_bias_assessment_phage_therapy_mdr_pseudomonas.md",2022,"registry-only (ClinicalTrials.gov structured results, no peer-reviewed publication located)","Multicentre CF trial (NCT04596319)","From discovery-phase data assessment (data_sources.md/data_dictionary.md): n=29 total, completed Dec 2022, CF patients with chronic pulmonary P. aeruginosa infection, comparator=placebo on background CF antibiotics (both arms structurally on background antibiotics -- modality coded as combination since phage arm = phage+background-antibiotics). Highest-dose cohort: 5/10 patients had >=1 TEAE, including 1 SAE. adverse_event_n=5 reflects this highest-dose cohort only (n_arm=10) -- other dose cohorts' TEAE counts not confirmed in sources reviewed. clinical_success_n left NA (no efficacy/bacterial-density comparison located in CT.gov structured summary fields consulted). UPDATED (2026-07-22) via direct ClinicalTrials.gov API v2 query (clinicaltrials.gov/api/v2/studies/NCT04596319, resultsSection.adverseEventsModule and participantFlowModule): confirms this extraction's n=10 highest-dose cohort is 'Cohort 4 MAD' (5-phage, 1.5e11 PFU/dose x2 doses/day x10 days) -- otherNumAffected=5 of 10 at risk (matches adverse_event_n=5 already coded exactly), plus 1 serious adverse event (seriousNumAffected=1 of 10) not previously distinguished from the 5 total, and 0 deaths (deathsNumAffected=0 of 10, hence mortality_n=0). The trial's only registered outcome measure is TEAE incidence/severity (a pure Phase 1b/2a safety and tolerability study) -- clinical_success_n and microbio_eradication_n are NOT_APPLICABLE by trial design, not an unresolved completeness gap: no efficacy outcome was ever registered or reported for this trial.","COMPLETE","Clinical success and microbiological eradication are structurally NOT_APPLICABLE: this trial's sole registered and reported outcome is treatment-emergent adverse event incidence/severity (Phase 1b/2a safety/tolerability design), confirmed via direct ClinicalTrials.gov API v2 query -- not a case of incomplete extraction. AE and mortality are now fully extracted (see extraction_citation).","ArmataAP_PA02_highdose"
"Aslam2019","Aslam2019_P1",1,"Pseudomonas-only","MDR","independently-verified","other (multi-route: IV and nebulized/inhaled, concurrently)","phage+antibiotic combination",1,"Clinical improvement: discharged from hospital, tracheostomy de-cannulated, successful rehabilitation",0,1,0,NA,0,"case report","independently-extracted","independently-rated",2019,"high-tier (Am J Transplant)","USA (lung transplant recipient)","PMC6711787 (fetched by orchestrator 2026-07-20), Patient 1: MDR P. aeruginosa (resistant to carbapenems and fluoroquinolones per text), 2 treatment episodes, IV+nebulized AB-PA01 phage, concomitant piperacillin-tazobactam/colistin/tobramycin. Bacterial eradication achieved during therapy ('re-establishment of respiratory flora' with non-P.aeruginosa species appearing). 'No AE related to BT occurred during treatment.' No death.","COMPLETE",NA,"Aslam2019_P1"
"Aslam2019","Aslam2019_P2",1,"Pseudomonas-only","MDR","independently-verified","IV","phage+antibiotic combination",1,"Clinical improvement: weaned from ventilator by day 90, discharged from hospital",0,1,0,NA,NA,"case report","independently-extracted","independently-rated",2019,"high-tier (Am J Transplant)","USA (lung transplant recipient)","PMC6711787 (fetched by orchestrator 2026-07-20), Patient 2: MDR P. aeruginosa ('sensitive to only colistin' per text), IV phage (AB-PA01), concomitant inhaled colistin continued. No additional P. aeruginosa cultured from BAL for 60 days post-treatment; subsequent isolates showed improved antibiotic susceptibility (re-sensitization). 'There were no BT-related AE.' No death.","COMPLETE",NA,"Aslam2019_P2"
"Pirnay2024","Pirnay2024_XDR",7,"Pseudomonas-only","XDR","author-reported","other (mixed multi-route within stratum -- nebulisation, IV, topical, intralesional, and nasal all represented; see codebook)","phage+antibiotic combination",6,"'Clinical improvement' as defined by study authors (binary yes/no); patients (case #) 8,13,18,24,26,79 improved, patients 3 did not",2,5,2,NA,NA,"retrospective cohort","independently-extracted","independently-rated -- JBI case-series (Low risk), see quality_reports/risk_of_bias_assessment_phage_therapy_mdr_pseudomonas.md",2024,"high-tier (Nature Microbiology)","Belgium (multicentre/multinational consortium)","Full text + Supplementary Table 1 (patient-level roster, all 100 cases) and Supplementary Table 2 (structured per-patient encoding: TARGET species, ABRPROF resistance profile, CI=clinical improvement, ERADIC=eradication) fetched directly (2026-07-22) from the open-access PMC mirror PMC11153159 (CC BY license) of Pirnay et al. 2024, Nature Microbiology, via the Springer static-content supplementary PDF (41564_2024_1705_MOESM1_ESM.pdf). Supersedes the prior Pirnay2024_table2subset row (11-patient subset from the main text's narrative Table 2), now fully superseded: of that subset's patients {13,20,22,26,27,30,54,64,71,82,91}, values cross-validate exactly against this extraction, EXCEPT patients 30 and 71, whose per-patient resistance profile (ABRPROF=UDR, usual drug resistance) only became available from this supplementary data -- UDR does not meet this review's MDR/XDR/PDR eligibility criterion, so both are EXCLUDED here, a genuine eligibility correction the prior extraction could not have caught without this data. Of all 49 P. aeruginosa-targeted patients in the cohort (matches the paper's own stated '49/100' figure exactly), 32 are MDR/XDR/PDR-eligible; the remaining 17 are UDR and excluded from this review's dataset entirely. This XDR stratum: n=7 patients, clinical improvement 6/7 (not improved: case #s 3), eradication 5/7 (not eradicated: case #s 3,79), adverse events reported in 2/7 (case #s 3,79), mortality 2/7 (case #s 3,79; all deaths coded 'unlikely' related to bacteriophage therapy by study authors -- septic shock, tumor progression, or postoperative ileus, not a phage-attributed AE).","COMPLETE","Residual limitations: resistance_emergence_n and los_days are NA for this stratum -- the supplementary tables do not report per-patient resistance emergence or length-of-hospitalization data (5 patients in this stratum's predecessor row had documented resistance emergence from the main-text narrative detail; that granularity is not available for the other patients from the supplementary tables alone). Concomitant-antibiotics route is not disaggregated per patient in the supplementary tables (aggregate-only).","Pirnay2024_XDR"
"Pirnay2024","Pirnay2024_MDR",23,"Pseudomonas-only","MDR","author-reported","other (mixed multi-route within stratum -- nebulisation, IV, topical, intralesional, and nasal all represented; see codebook)","phage+antibiotic combination",16,"'Clinical improvement' as defined by study authors (binary yes/no); patients (case #) 4,11,17,20,22,27,34,54,56,64,67,75,81,82,91,92 improved, patients 14,36,38,76,87,93,96 did not",4,14,2,NA,NA,"retrospective cohort","independently-extracted","independently-rated -- JBI case-series (Low risk), see quality_reports/risk_of_bias_assessment_phage_therapy_mdr_pseudomonas.md",2024,"high-tier (Nature Microbiology)","Belgium (multicentre/multinational consortium)","Full text + Supplementary Table 1 (patient-level roster, all 100 cases) and Supplementary Table 2 (structured per-patient encoding: TARGET species, ABRPROF resistance profile, CI=clinical improvement, ERADIC=eradication) fetched directly (2026-07-22) from the open-access PMC mirror PMC11153159 (CC BY license) of Pirnay et al. 2024, Nature Microbiology, via the Springer static-content supplementary PDF (41564_2024_1705_MOESM1_ESM.pdf). Supersedes the prior Pirnay2024_table2subset row (11-patient subset from the main text's narrative Table 2), now fully superseded: of that subset's patients {13,20,22,26,27,30,54,64,71,82,91}, values cross-validate exactly against this extraction, EXCEPT patients 30 and 71, whose per-patient resistance profile (ABRPROF=UDR, usual drug resistance) only became available from this supplementary data -- UDR does not meet this review's MDR/XDR/PDR eligibility criterion, so both are EXCLUDED here, a genuine eligibility correction the prior extraction could not have caught without this data. Of all 49 P. aeruginosa-targeted patients in the cohort (matches the paper's own stated '49/100' figure exactly), 32 are MDR/XDR/PDR-eligible; the remaining 17 are UDR and excluded from this review's dataset entirely. This MDR stratum: n=23 patients, clinical improvement 16/23 (not improved: case #s 14,36,38,76,87,93,96), eradication 14/23 (not eradicated: case #s 11,14,36,38,54,76,87,91,96), adverse events reported in 4/23 (case #s 11,20,93,96), mortality 2/23 (case #s 93,96; all deaths coded 'unlikely' related to bacteriophage therapy by study authors -- septic shock, tumor progression, or postoperative ileus, not a phage-attributed AE).","COMPLETE","Residual limitations: resistance_emergence_n and los_days are NA for this stratum -- the supplementary tables do not report per-patient resistance emergence or length-of-hospitalization data (5 patients in this stratum's predecessor row had documented resistance emergence from the main-text narrative detail; that granularity is not available for the other patients from the supplementary tables alone). Concomitant-antibiotics route is not disaggregated per patient in the supplementary tables (aggregate-only).","Pirnay2024_MDR"
"Pirnay2024","Pirnay2024_PDR",2,"Pseudomonas-only","PDR","author-reported","other (mixed multi-route within stratum -- nebulisation, IV, topical, intralesional, and nasal all represented; see codebook)","phage+antibiotic combination",1,"'Clinical improvement' as defined by study authors (binary yes/no); patients (case #) 74 improved, patients 57 did not",0,1,0,NA,NA,"retrospective cohort","independently-extracted","independently-rated -- JBI case-series (Low risk), see quality_reports/risk_of_bias_assessment_phage_therapy_mdr_pseudomonas.md",2024,"high-tier (Nature Microbiology)","Belgium (multicentre/multinational consortium)","Full text + Supplementary Table 1 (patient-level roster, all 100 cases) and Supplementary Table 2 (structured per-patient encoding: TARGET species, ABRPROF resistance profile, CI=clinical improvement, ERADIC=eradication) fetched directly (2026-07-22) from the open-access PMC mirror PMC11153159 (CC BY license) of Pirnay et al. 2024, Nature Microbiology, via the Springer static-content supplementary PDF (41564_2024_1705_MOESM1_ESM.pdf). Supersedes the prior Pirnay2024_table2subset row (11-patient subset from the main text's narrative Table 2), now fully superseded: of that subset's patients {13,20,22,26,27,30,54,64,71,82,91}, values cross-validate exactly against this extraction, EXCEPT patients 30 and 71, whose per-patient resistance profile (ABRPROF=UDR, usual drug resistance) only became available from this supplementary data -- UDR does not meet this review's MDR/XDR/PDR eligibility criterion, so both are EXCLUDED here, a genuine eligibility correction the prior extraction could not have caught without this data. Of all 49 P. aeruginosa-targeted patients in the cohort (matches the paper's own stated '49/100' figure exactly), 32 are MDR/XDR/PDR-eligible; the remaining 17 are UDR and excluded from this review's dataset entirely. This PDR stratum: n=2 patients, clinical improvement 1/2 (not improved: case #s 57), eradication 1/2 (not eradicated: case #s 57), adverse events reported in 0/2 (case #s none), mortality 0/2 (case #s none; all deaths coded 'unlikely' related to bacteriophage therapy by study authors -- septic shock, tumor progression, or postoperative ileus, not a phage-attributed AE).","COMPLETE","Residual limitations: resistance_emergence_n and los_days are NA for this stratum -- the supplementary tables do not report per-patient resistance emergence or length-of-hospitalization data (5 patients in this stratum's predecessor row had documented resistance emergence from the main-text narrative detail; that granularity is not available for the other patients from the supplementary tables alone). Concomitant-antibiotics route is not disaggregated per patient in the supplementary tables (aggregate-only).","Pirnay2024_PDR"
"Kohler2023","Kohler2023_A",1,"Pseudomonas-only","MDR","author-reported","inhaled/nebulized","phage+antibiotic combination",1,"Author-reported clinical improvement (binary yes/no): drastic improvement in general condition, progressive radiological clearance of lung consolidations on serial CT, resolution of respiratory exacerbations, and eventual complete discontinuation of systemic antibiotics; patient alive and returned to work at last follow-up (D996, Dec 2022).",1,0,0,NA,0,"case report","independently-extracted","independently-rated -- Murad 2018 (Low-to-moderate risk), see quality_reports/risk_of_bias_assessment_phage_therapy_mdr_pseudomonas.md",2023,"high-tier (Nature Communications)","Switzerland (Geneva University Hospitals)","Kohler et al. 2023, Nature Communications 14:3629, PMID 37369702, PMC10300124, DOI 10.1038/s41467-023-39370-z. Full text fetched via PubMed/PMC (2026-07-23). 41-year-old male, Kartagener syndrome, tetraplegic since 2014; chronic MDR P. aeruginosa lung infection (MDR strains isolated from July 2019, beta-lactam resistance across aztreonam/ceftazidime/meropenem/carbapenems -- author-reported MDR, full Magiorakos-category antibiogram not tabulated in text so coded author-reported rather than independently-verified). Two courses of aerosolized (nebulized) single lytic phage vFB297, each 5-7 daily doses of 5x10^9 PFU, administered IN ADDITION to continuous IV antibiotic therapy (hence phage+antibiotic combination, not monotherapy). Clinical success = yes (1/1): sustained clinical/radiological improvement, exacerbations resolved, systemic antibiotics ultimately stopped. Adverse event = 1/1: transient oxygen desaturation + single febrile event during first 2 days (authors attribute to preparation endotoxin; coded here as >=1 adverse event, harm-conservative, even though authors frame nebulized phage as otherwise well-tolerated). Microbiological eradication = 0/1: authors state complete eradication of P. aeruginosa lung colonization was NOT achieved. Mortality = 0/1: alive at last follow-up. Discovered via a supplementary Scopus-inclusive literature search (2026-07-23) that the original PubMed-only search rounds had missed; NOT part of the Belgian (Pirnay) consortium (Swiss single-centre case), so no overlap with Pirnay2024.","COMPLETE","los_days not reported as a discrete value (near-continuous hospitalisation preceding therapy; not a clean length-of-stay outcome). All four primary/secondary outcomes (clinical success, adverse event, eradication, mortality) are extracted.","Kohler2023_A"
"Chan2025","Chan2025_MDR",7,"Pseudomonas-only","MDR","author-reported","inhaled/nebulized","phage+antibiotic combination",NA,"Not extractable as a binary clinical-success proportion: the study's endpoints are continuous (percent-predicted FEV1 change and sputum P. aeruginosa CFU reduction), reported cohort-wide, with no binary clinical-cure/success definition -- coded NA on the same basis as the BX004-A and PhagoBurn trials.",NA,0,0,NA,NA,"case series","independently-extracted","independently-rated -- JBI case-series (Low-to-moderate risk), see quality_reports/risk_of_bias_assessment_phage_therapy_mdr_pseudomonas.md",2025,"high-tier (Nature Medicine)","USA (Yale Center for Phage Biology and Therapy + multicentre CF sites)","Chan et al. 2025, Nature Medicine 31:1494-1501, PMID 40301561, PMC12092284, DOI 10.1038/s41591-025-03678-8. Full text fetched via PubMed/PMC (2026-07-23). Consecutive compassionate-use cohort of 9 adults with cystic fibrosis (8 female, 1 male; median age 32) treated with nebulized (inhaled) phage(s) -- single-phage or 2-3 phage cocktail, 1x10^9 PFU/dose, 7-10 days -- for MDR (7 patients) or PDR (2 patients) P. aeruginosa refractory to standard therapy. All patients concurrently on IV antibiotics (n=6) or recently completed antibiotics (n=3), hence phage+antibiotic combination. The 9-patient cohort is SPLIT here into an MDR arm (n=7) and a PDR arm (n=2) to honour this review's resistance-classification ladder (the source explicitly reports the 7/2 MDR/PDR split), rather than burying 7 known-MDR patients in the not-classifiable bucket. Outcomes: clinical success = NA (continuous ppFEV1/CFU endpoints, no binary success definition; ppFEV1 improved and CFU decreased in all 9, but the study reports no binary cure). Microbiological eradication = 0 (sputum P. aeruginosa CFU decreased but was NOT eradicated in any patient; post-therapy isolates were recovered from all 9) -- uniform across the cohort, so cleanly separable to 0/7 (MDR) and 0/2 (PDR). Mortality = 0 (no deaths; 30-day AE follow-up) -- uniform, separable to 0/7 and 0/2. Adverse event = NA for the split arms: the cohort-level safety signal (4/9 outpatients reported transient subjective fevers, 3/9 fatigue on days 2-3, none requiring treatment; the study frames nebulization as 'well tolerated without adverse events') is reported ONLY at the mixed-cohort level and cannot be attributed to the MDR vs PDR sub-groups, so it is not carried into either split arm -- a documented, honest data loss (the cohort-level AE is retained in the claim-source map and Discussion, not silently dropped). Discovered via a supplementary Scopus-inclusive literature search (2026-07-23) that the original PubMed-only search rounds had missed. Distinct from the Yale CYPHY randomized trial (YPT-01, NCT04684641), which remains a separate, pending/not-pooled record; potential patient overlap between this compassionate cohort and the CYPHY RCT is a disclosed caveat and a reason to keep CYPHY unpooled. [This row: the 7 MDR patients; eradication 0/7, mortality 0/7.]","EXTRACTION_INCOMPLETE","Clinical success is NA (continuous endpoint, structural -- not an obtainable gap). Adverse event is NA for this split arm because the cohort-level 4/9 transient-fever signal is not attributable to the MDR vs PDR sub-group. Eradication and mortality are complete (both 0).","Chan2025_MDR"
"Chan2025","Chan2025_PDR",2,"Pseudomonas-only","PDR","author-reported","inhaled/nebulized","phage+antibiotic combination",NA,"Not extractable as a binary clinical-success proportion: the study's endpoints are continuous (percent-predicted FEV1 change and sputum P. aeruginosa CFU reduction), reported cohort-wide, with no binary clinical-cure/success definition -- coded NA on the same basis as the BX004-A and PhagoBurn trials.",NA,0,0,NA,NA,"case series","independently-extracted","independently-rated -- JBI case-series (Low-to-moderate risk), see quality_reports/risk_of_bias_assessment_phage_therapy_mdr_pseudomonas.md",2025,"high-tier (Nature Medicine)","USA (Yale Center for Phage Biology and Therapy + multicentre CF sites)","Chan et al. 2025, Nature Medicine 31:1494-1501, PMID 40301561, PMC12092284, DOI 10.1038/s41591-025-03678-8. Full text fetched via PubMed/PMC (2026-07-23). Consecutive compassionate-use cohort of 9 adults with cystic fibrosis (8 female, 1 male; median age 32) treated with nebulized (inhaled) phage(s) -- single-phage or 2-3 phage cocktail, 1x10^9 PFU/dose, 7-10 days -- for MDR (7 patients) or PDR (2 patients) P. aeruginosa refractory to standard therapy. All patients concurrently on IV antibiotics (n=6) or recently completed antibiotics (n=3), hence phage+antibiotic combination. The 9-patient cohort is SPLIT here into an MDR arm (n=7) and a PDR arm (n=2) to honour this review's resistance-classification ladder (the source explicitly reports the 7/2 MDR/PDR split), rather than burying 7 known-MDR patients in the not-classifiable bucket. Outcomes: clinical success = NA (continuous ppFEV1/CFU endpoints, no binary success definition; ppFEV1 improved and CFU decreased in all 9, but the study reports no binary cure). Microbiological eradication = 0 (sputum P. aeruginosa CFU decreased but was NOT eradicated in any patient; post-therapy isolates were recovered from all 9) -- uniform across the cohort, so cleanly separable to 0/7 (MDR) and 0/2 (PDR). Mortality = 0 (no deaths; 30-day AE follow-up) -- uniform, separable to 0/7 and 0/2. Adverse event = NA for the split arms: the cohort-level safety signal (4/9 outpatients reported transient subjective fevers, 3/9 fatigue on days 2-3, none requiring treatment; the study frames nebulization as 'well tolerated without adverse events') is reported ONLY at the mixed-cohort level and cannot be attributed to the MDR vs PDR sub-groups, so it is not carried into either split arm -- a documented, honest data loss (the cohort-level AE is retained in the claim-source map and Discussion, not silently dropped). Discovered via a supplementary Scopus-inclusive literature search (2026-07-23) that the original PubMed-only search rounds had missed. Distinct from the Yale CYPHY randomized trial (YPT-01, NCT04684641), which remains a separate, pending/not-pooled record; potential patient overlap between this compassionate cohort and the CYPHY RCT is a disclosed caveat and a reason to keep CYPHY unpooled. [This row: the 2 PDR patients; eradication 0/2, mortality 0/2.]","EXTRACTION_INCOMPLETE","Clinical success is NA (continuous endpoint, structural). Adverse event is NA for this split arm (cohort-level signal not attributable to the PDR sub-group). Eradication and mortality are complete (both 0).","Chan2025_PDR"
"Law2019","Law2019_A",1,"Pseudomonas-only","MDR","author-reported","IV","phage+antibiotic combination",1,"Author-reported clinical resolution of MDR P. aeruginosa pneumonia; no recurrence of pseudomonal pneumonia or CF exacerbation within 100 days of ending bacteriophage therapy; successful bilateral lung transplantation 9 months later.",0,1,0,NA,NA,"case report","independently-extracted","independently-rated -- Murad 2018 (Low-to-moderate risk), see quality_reports/risk_of_bias_assessment_phage_therapy_mdr_pseudomonas.md",2019,"mid-tier (Infection/Springer)","USA (UC San Diego)","Law et al. 2019, Infection 47(4):665-668, PMID 31102236, DOI 10.1007/s15010-019-01319-0. CORRECTS an earlier provisional exclusion of this case as a mere conference abstract: this is the FULL peer-reviewed case report (the J Heart Lung Transplant item is the same case's meeting abstract, now superseded and not double-counted). 26-year-old female CF patient awaiting lung transplant, MDR P. aeruginosa pneumonia + persistent respiratory failure + colistin-induced renal failure; IV bacteriophage therapy (AB-PA01-lineage) plus systemic antibiotics (combination). Clinical resolution (cs=1), no adverse events (ae=0), no pseudomonal recurrence within 100 days (eradication coded 1), successful bilateral lung transplant 9 months later (mortality=0). Distinct patient from Aslam et al. 2019's 3 post-transplant recipients (this patient is PRE-transplant, CF). Surfaced by the native Scopus RIS search (2026-07-23).","COMPLETE","los_days and resistance_emergence not reported as discrete values. All four primary/secondary outcomes extracted.","Law2019_A"
"Hahn2023","Hahn2023_A",2,"Pseudomonas-only","MDR","author-reported","inhaled/nebulized","phage+antibiotic combination",NA,"Not extractable as a binary clinical-success proportion: the case series reports safety and radiological/CFU trends for two CF patients without a clean per-patient binary cure/success statement.",1,NA,0,NA,NA,"case series","independently-extracted","independently-rated -- JBI case-series (Low-to-moderate risk), see quality_reports/risk_of_bias_assessment_phage_therapy_mdr_pseudomonas.md",2023,"mid-tier (J Investig Med High Impact Case Rep)","USA (Children's National, Washington DC; phages from Yale)","Hahn et al. 2023, J Investig Med High Impact Case Rep 11:23247096231188243, PMID 37515541, PMC10387758, DOI 10.1177/23247096231188243. Two CF patients (Pt1 6yo, Pt2 26yo), inhaled personalized phage concurrent with IV antibiotics (combination). RESISTANCE CODING NOTE: the title states 'pan-drug-resistant' (PDR) but the case-report body describes the isolates as 'MDR'; per this review's asymmetric-conservative classification rule (an upgrade to a more severe class requires positive antibiogram confirmation, absent here), coded MDR (author-reported), not PDR. Adverse event=1 (Pt2 had a grade-3 serious adverse event during the study period, judged by the authors more likely attributable to underlying disease than to phage; counted here harm-conservatively; inhaled phage itself tolerated without bronchospasm). Clinical success NA (no binary cure statement; continuous/radiological outcomes). Eradication NA (chronic CF colonization, not reported as eradicated). Mortality 0 (both alive through 2-3 month follow-up). Pediatric CF patients -- distinct from Chan et al. 2025's adult (median age 32) cohort despite shared Yale phage source. Surfaced by the native Scopus RIS search (2026-07-23).","EXTRACTION_INCOMPLETE","Clinical success and eradication are NA (no binary per-patient outcome reported; safety and mortality are extracted). Two patients pooled as one arm since both share the MDR classification.","Hahn2023_A"
"Leveque2023","Leveque2023_A",1,"Pseudomonas-only","XDR","author-reported","other (multi-route: nebulization + bronchoscopic instillation + oral/gastric-tube, no IV)","phage+antibiotic combination",0,"Clinical failure: despite microbiological eradication of the XDR strain, the patient progressed to multi-organ failure and died at 24 months post-lung-transplant; the chronic bronchopulmonary infection favored the fatal course.",0,1,1,NA,NA,"case report","independently-extracted","independently-rated -- Murad 2018 (Low-to-moderate risk), see quality_reports/risk_of_bias_assessment_phage_therapy_mdr_pseudomonas.md",2023,"mid-tier (Infection and Drug Resistance)","France (Marseille; Pherecydes phages)","Leveque et al. 2023, Infect Drug Resist 16:4265-4271, PMID 37409241, PMC10319284, DOI 10.2147/IDR.S413900. Lung transplant recipient with common variable immunodeficiency, XDR P. aeruginosa (susceptible only to colistin/cefiderocol/amikacin/gentamicin -- consistent with XDR) bronchopulmonary infection; phage by nebulization + bronchoscopic instillation + oral/gastric tube (no IV) plus antibiotics and IgM/IgA immunoglobulins (combination). Microbiological eradication achieved (all samples sterile from day 5 of the second BT cycle; eradication=1), but FATAL outcome (multi-organ failure, died at 24 months; mortality=1, clinical_success=0). No phage-attributed adverse events (the AKI/hearing loss were aminoglycoside-related, not phage; ae=0). Adds a rare XDR data point and a documented death. Surfaced by the native Scopus RIS search (2026-07-23).","COMPLETE","los_days/resistance_emergence not discrete. All four primary/secondary outcomes extracted.","Leveque2023_A"
