pmid,verdict,reason,decided_by,decided_at
27065964,EXCLUDE,"preclinical/laboratory: phage biology, genomics, structural, CRISPR, biosensor, in vitro or animal work; no human treatment reported","claude-opus-5 (title stage, LLM-assisted; pending human verification)",2026-08-04T06:25:41
27070941,EXCLUDE,"preclinical/laboratory: phage biology, genomics, structural, CRISPR, biosensor, in vitro or animal work; no human treatment reported","claude-opus-5 (title stage, LLM-assisted; pending human verification)",2026-08-04T06:25:41
27071764,EXCLUDE,"preclinical/laboratory: phage biology, genomics, structural, CRISPR, biosensor, in vitro or animal work; no human treatment reported","claude-opus-5 (title stage, LLM-assisted; pending human verification)",2026-08-04T06:25:41
27074511,EXCLUDE,"preclinical/laboratory: phage biology, genomics, structural, CRISPR, biosensor, in vitro or animal work; no human treatment reported","claude-opus-5 (title stage, LLM-assisted; pending human verification)",2026-08-04T06:25:41
27099623,EXCLUDE,"preclinical/laboratory: phage biology, genomics, structural, CRISPR, biosensor, in vitro or animal work; no human treatment reported","claude-opus-5 (title stage, LLM-assisted; pending human verification)",2026-08-04T06:25:41
27106788,EXCLUDE,"preclinical/laboratory: phage biology, genomics, structural, CRISPR, biosensor, in vitro or animal work; no human treatment reported","claude-opus-5 (title stage, LLM-assisted; pending human verification)",2026-08-04T06:25:41
27144083,EXCLUDE,"preclinical/laboratory: phage biology, genomics, structural, CRISPR, biosensor, in vitro or animal work; no human treatment reported","claude-opus-5 (title stage, LLM-assisted; pending human verification)",2026-08-04T06:25:41
27151780,EXCLUDE,"preclinical/laboratory: phage biology, genomics, structural, CRISPR, biosensor, in vitro or animal work; no human treatment reported","claude-opus-5 (title stage, LLM-assisted; pending human verification)",2026-08-04T06:25:41
27171886,EXCLUDE,"preclinical/laboratory: phage biology, genomics, structural, CRISPR, biosensor, in vitro or animal work; no human treatment reported","claude-opus-5 (title stage, LLM-assisted; pending human verification)",2026-08-04T06:25:41
27175494,ADVANCE,"clinical isolates from complicated SSTI patients tested against phage cocktails; clinical-adjacent, decide at abstract","claude-opus-5 (title stage, LLM-assisted; pending human verification)",2026-08-04T06:25:41
27194637,EXCLUDE,"preclinical/laboratory: phage biology, genomics, structural, CRISPR, biosensor, in vitro or animal work; no human treatment reported","claude-opus-5 (title stage, LLM-assisted; pending human verification)",2026-08-04T06:25:41
27208109,EXCLUDE,"preclinical/laboratory: phage biology, genomics, structural, CRISPR, biosensor, in vitro or animal work; no human treatment reported","claude-opus-5 (title stage, LLM-assisted; pending human verification)",2026-08-04T06:25:41
27225966,EXCLUDE,"preclinical/laboratory: phage biology, genomics, structural, CRISPR, biosensor, in vitro or animal work; no human treatment reported","claude-opus-5 (title stage, LLM-assisted; pending human verification)",2026-08-04T06:25:41
27247423,EXCLUDE,"preclinical/laboratory: phage biology, genomics, structural, CRISPR, biosensor, in vitro or animal work; no human treatment reported","claude-opus-5 (title stage, LLM-assisted; pending human verification)",2026-08-04T06:25:41
27258950,EXCLUDE,"preclinical/laboratory: phage biology, genomics, structural, CRISPR, biosensor, in vitro or animal work; no human treatment reported","claude-opus-5 (title stage, LLM-assisted; pending human verification)",2026-08-04T06:25:41
27288401,EXCLUDE,"preclinical/laboratory: phage biology, genomics, structural, CRISPR, biosensor, in vitro or animal work; no human treatment reported","claude-opus-5 (title stage, LLM-assisted; pending human verification)",2026-08-04T06:25:41
27301427,EXCLUDE,"preclinical/laboratory: phage biology, genomics, structural, CRISPR, biosensor, in vitro or animal work; no human treatment reported","claude-opus-5 (title stage, LLM-assisted; pending human verification)",2026-08-04T06:25:41
27303392,EXCLUDE,"preclinical/laboratory: phage biology, genomics, structural, CRISPR, biosensor, in vitro or animal work; no human treatment reported","claude-opus-5 (title stage, LLM-assisted; pending human verification)",2026-08-04T06:25:41
27303696,EXCLUDE,"preclinical/laboratory: phage biology, genomics, structural, CRISPR, biosensor, in vitro or animal work; no human treatment reported","claude-opus-5 (title stage, LLM-assisted; pending human verification)",2026-08-04T06:25:41
27313312,EXCLUDE,"preclinical/laboratory: phage biology, genomics, structural, CRISPR, biosensor, in vitro or animal work; no human treatment reported","claude-opus-5 (title stage, LLM-assisted; pending human verification)",2026-08-04T06:25:41
27380413,EXCLUDE,"preclinical/laboratory: phage biology, genomics, structural, CRISPR, biosensor, in vitro or animal work; no human treatment reported","claude-opus-5 (title stage, LLM-assisted; pending human verification)",2026-08-04T06:25:41
27382184,EXCLUDE,"preclinical/laboratory: phage biology, genomics, structural, CRISPR, biosensor, in vitro or animal work; no human treatment reported","claude-opus-5 (title stage, LLM-assisted; pending human verification)",2026-08-04T06:25:41
27447594,EXCLUDE,"preclinical/laboratory: phage biology, genomics, structural, CRISPR, biosensor, in vitro or animal work; no human treatment reported","claude-opus-5 (title stage, LLM-assisted; pending human verification)",2026-08-04T06:25:41
27455460,EXCLUDE,"preclinical/laboratory: phage biology, genomics, structural, CRISPR, biosensor, in vitro or animal work; no human treatment reported","claude-opus-5 (title stage, LLM-assisted; pending human verification)",2026-08-04T06:25:41
27457717,EXCLUDE,"preclinical/laboratory: phage biology, genomics, structural, CRISPR, biosensor, in vitro or animal work; no human treatment reported","claude-opus-5 (title stage, LLM-assisted; pending human verification)",2026-08-04T06:25:41
27473221,EXCLUDE,"preclinical/laboratory: phage biology, genomics, structural, CRISPR, biosensor, in vitro or animal work; no human treatment reported","claude-opus-5 (title stage, LLM-assisted; pending human verification)",2026-08-04T06:25:41
27563032,EXCLUDE,"preclinical/laboratory: phage biology, genomics, structural, CRISPR, biosensor, in vitro or animal work; no human treatment reported","claude-opus-5 (title stage, LLM-assisted; pending human verification)",2026-08-04T06:25:41
27573013,EXCLUDE,"preclinical/laboratory: phage biology, genomics, structural, CRISPR, biosensor, in vitro or animal work; no human treatment reported","claude-opus-5 (title stage, LLM-assisted; pending human verification)",2026-08-04T06:25:41
27573108,EXCLUDE,"preclinical/laboratory: phage biology, genomics, structural, CRISPR, biosensor, in vitro or animal work; no human treatment reported","claude-opus-5 (title stage, LLM-assisted; pending human verification)",2026-08-04T06:25:41
27590812,EXCLUDE,"preclinical/laboratory: phage biology, genomics, structural, CRISPR, biosensor, in vitro or animal work; no human treatment reported","claude-opus-5 (title stage, LLM-assisted; pending human verification)",2026-08-04T06:25:41
27605673,EXCLUDE,"preclinical/laboratory: phage biology, genomics, structural, CRISPR, biosensor, in vitro or animal work; no human treatment reported","claude-opus-5 (title stage, LLM-assisted; pending human verification)",2026-08-04T06:25:41
27632947,EXCLUDE,"preclinical/laboratory: phage biology, genomics, structural, CRISPR, biosensor, in vitro or animal work; no human treatment reported","claude-opus-5 (title stage, LLM-assisted; pending human verification)",2026-08-04T06:25:41
27656173,EXCLUDE,"preclinical/laboratory: phage biology, genomics, structural, CRISPR, biosensor, in vitro or animal work; no human treatment reported","claude-opus-5 (title stage, LLM-assisted; pending human verification)",2026-08-04T06:25:41
27659070,EXCLUDE,"preclinical/laboratory: phage biology, genomics, structural, CRISPR, biosensor, in vitro or animal work; no human treatment reported","claude-opus-5 (title stage, LLM-assisted; pending human verification)",2026-08-04T06:25:41
27698408,EXCLUDE,"preclinical/laboratory: phage biology, genomics, structural, CRISPR, biosensor, in vitro or animal work; no human treatment reported","claude-opus-5 (title stage, LLM-assisted; pending human verification)",2026-08-04T06:25:41
27714824,EXCLUDE,"preclinical/laboratory: phage biology, genomics, structural, CRISPR, biosensor, in vitro or animal work; no human treatment reported","claude-opus-5 (title stage, LLM-assisted; pending human verification)",2026-08-04T06:25:41
27718644,EXCLUDE,"preclinical/laboratory: phage biology, genomics, structural, CRISPR, biosensor, in vitro or animal work; no human treatment reported","claude-opus-5 (title stage, LLM-assisted; pending human verification)",2026-08-04T06:25:41
27725669,EXCLUDE,"preclinical/laboratory: phage biology, genomics, structural, CRISPR, biosensor, in vitro or animal work; no human treatment reported","claude-opus-5 (title stage, LLM-assisted; pending human verification)",2026-08-04T06:25:41
27725812,EXCLUDE,"preclinical/laboratory: phage biology, genomics, structural, CRISPR, biosensor, in vitro or animal work; no human treatment reported","claude-opus-5 (title stage, LLM-assisted; pending human verification)",2026-08-04T06:25:41
27790211,EXCLUDE,"preclinical/laboratory: phage biology, genomics, structural, CRISPR, biosensor, in vitro or animal work; no human treatment reported","claude-opus-5 (title stage, LLM-assisted; pending human verification)",2026-08-04T06:25:41
27818282,EXCLUDE,"preclinical/laboratory: phage biology, genomics, structural, CRISPR, biosensor, in vitro or animal work; no human treatment reported","claude-opus-5 (title stage, LLM-assisted; pending human verification)",2026-08-04T06:25:41
27825482,EXCLUDE,"preclinical/laboratory: phage biology, genomics, structural, CRISPR, biosensor, in vitro or animal work; no human treatment reported","claude-opus-5 (title stage, LLM-assisted; pending human verification)",2026-08-04T06:25:41
27829980,EXCLUDE,"preclinical/laboratory: phage biology, genomics, structural, CRISPR, biosensor, in vitro or animal work; no human treatment reported","claude-opus-5 (title stage, LLM-assisted; pending human verification)",2026-08-04T06:25:41
27834591,EXCLUDE,"preclinical/laboratory: phage biology, genomics, structural, CRISPR, biosensor, in vitro or animal work; no human treatment reported","claude-opus-5 (title stage, LLM-assisted; pending human verification)",2026-08-04T06:25:41
27849583,EXCLUDE,"preclinical/laboratory: phage biology, genomics, structural, CRISPR, biosensor, in vitro or animal work; no human treatment reported","claude-opus-5 (title stage, LLM-assisted; pending human verification)",2026-08-04T06:25:41
27913133,EXCLUDE,"preclinical/laboratory: phage biology, genomics, structural, CRISPR, biosensor, in vitro or animal work; no human treatment reported","claude-opus-5 (title stage, LLM-assisted; pending human verification)",2026-08-04T06:25:41
27917795,EXCLUDE,"preclinical/laboratory: phage biology, genomics, structural, CRISPR, biosensor, in vitro or animal work; no human treatment reported","claude-opus-5 (title stage, LLM-assisted; pending human verification)",2026-08-04T06:25:41
27934909,EXCLUDE,"preclinical/laboratory: phage biology, genomics, structural, CRISPR, biosensor, in vitro or animal work; no human treatment reported","claude-opus-5 (title stage, LLM-assisted; pending human verification)",2026-08-04T06:25:41
28000703,EXCLUDE,"preclinical/laboratory: phage biology, genomics, structural, CRISPR, biosensor, in vitro or animal work; no human treatment reported","claude-opus-5 (title stage, LLM-assisted; pending human verification)",2026-08-04T06:25:41
28056789,EXCLUDE,"preclinical/laboratory: phage biology, genomics, structural, CRISPR, biosensor, in vitro or animal work; no human treatment reported","claude-opus-5 (title stage, LLM-assisted; pending human verification)",2026-08-04T06:25:41
28060939,EXCLUDE,"preclinical/laboratory: phage biology, genomics, structural, CRISPR, biosensor, in vitro or animal work; no human treatment reported","claude-opus-5 (title stage, LLM-assisted; pending human verification)",2026-08-04T06:25:41
28067844,EXCLUDE,"preclinical/laboratory: phage biology, genomics, structural, CRISPR, biosensor, in vitro or animal work; no human treatment reported","claude-opus-5 (title stage, LLM-assisted; pending human verification)",2026-08-04T06:25:41
28076361,EXCLUDE,"preclinical/laboratory: phage biology, genomics, structural, CRISPR, biosensor, in vitro or animal work; no human treatment reported","claude-opus-5 (title stage, LLM-assisted; pending human verification)",2026-08-04T06:25:41
28090384,ADVANCE,title claims treatment and prophylaxis of healthcare-associated infections; may contain patient data,"claude-opus-5 (title stage, LLM-assisted; pending human verification)",2026-08-04T06:25:41
28127392,EXCLUDE,"preclinical/laboratory: phage biology, genomics, structural, CRISPR, biosensor, in vitro or animal work; no human treatment reported","claude-opus-5 (title stage, LLM-assisted; pending human verification)",2026-08-04T06:25:41
28163231,EXCLUDE,"preclinical/laboratory: phage biology, genomics, structural, CRISPR, biosensor, in vitro or animal work; no human treatment reported","claude-opus-5 (title stage, LLM-assisted; pending human verification)",2026-08-04T06:25:41
28208306,EXCLUDE,"preclinical/laboratory: phage biology, genomics, structural, CRISPR, biosensor, in vitro or animal work; no human treatment reported","claude-opus-5 (title stage, LLM-assisted; pending human verification)",2026-08-04T06:25:41
28257056,EXCLUDE,"preclinical/laboratory: phage biology, genomics, structural, CRISPR, biosensor, in vitro or animal work; no human treatment reported","claude-opus-5 (title stage, LLM-assisted; pending human verification)",2026-08-04T06:25:41
28258146,EXCLUDE,"preclinical/laboratory: phage biology, genomics, structural, CRISPR, biosensor, in vitro or animal work; no human treatment reported","claude-opus-5 (title stage, LLM-assisted; pending human verification)",2026-08-04T06:25:41
28258668,EXCLUDE,"preclinical/laboratory: phage biology, genomics, structural, CRISPR, biosensor, in vitro or animal work; no human treatment reported","claude-opus-5 (title stage, LLM-assisted; pending human verification)",2026-08-04T06:25:41
28285722,EXCLUDE,"preclinical/laboratory: phage biology, genomics, structural, CRISPR, biosensor, in vitro or animal work; no human treatment reported","claude-opus-5 (title stage, LLM-assisted; pending human verification)",2026-08-04T06:25:41
28289407,EXCLUDE,"preclinical/laboratory: phage biology, genomics, structural, CRISPR, biosensor, in vitro or animal work; no human treatment reported","claude-opus-5 (title stage, LLM-assisted; pending human verification)",2026-08-04T06:25:41
28303823,EXCLUDE,"preclinical/laboratory: phage biology, genomics, structural, CRISPR, biosensor, in vitro or animal work; no human treatment reported","claude-opus-5 (title stage, LLM-assisted; pending human verification)",2026-08-04T06:25:41
28331600,EXCLUDE,"preclinical/laboratory: phage biology, genomics, structural, CRISPR, biosensor, in vitro or animal work; no human treatment reported","claude-opus-5 (title stage, LLM-assisted; pending human verification)",2026-08-04T06:25:41
28334626,EXCLUDE,"preclinical/laboratory: phage biology, genomics, structural, CRISPR, biosensor, in vitro or animal work; no human treatment reported","claude-opus-5 (title stage, LLM-assisted; pending human verification)",2026-08-04T06:25:41
28340349,EXCLUDE,"preclinical/laboratory: phage biology, genomics, structural, CRISPR, biosensor, in vitro or animal work; no human treatment reported","claude-opus-5 (title stage, LLM-assisted; pending human verification)",2026-08-04T06:25:41
28346467,EXCLUDE,"preclinical/laboratory: phage biology, genomics, structural, CRISPR, biosensor, in vitro or animal work; no human treatment reported","claude-opus-5 (title stage, LLM-assisted; pending human verification)",2026-08-04T06:25:41
28377527,EXCLUDE,"preclinical/laboratory: phage biology, genomics, structural, CRISPR, biosensor, in vitro or animal work; no human treatment reported","claude-opus-5 (title stage, LLM-assisted; pending human verification)",2026-08-04T06:25:41
28418081,EXCLUDE,"preclinical/laboratory: phage biology, genomics, structural, CRISPR, biosensor, in vitro or animal work; no human treatment reported","claude-opus-5 (title stage, LLM-assisted; pending human verification)",2026-08-04T06:25:41
28421049,EXCLUDE,"preclinical/laboratory: phage biology, genomics, structural, CRISPR, biosensor, in vitro or animal work; no human treatment reported","claude-opus-5 (title stage, LLM-assisted; pending human verification)",2026-08-04T06:25:41
28461483,EXCLUDE,"preclinical/laboratory: phage biology, genomics, structural, CRISPR, biosensor, in vitro or animal work; no human treatment reported","claude-opus-5 (title stage, LLM-assisted; pending human verification)",2026-08-04T06:25:41
28461978,EXCLUDE,"preclinical/laboratory: phage biology, genomics, structural, CRISPR, biosensor, in vitro or animal work; no human treatment reported","claude-opus-5 (title stage, LLM-assisted; pending human verification)",2026-08-04T06:25:41
28462462,EXCLUDE,"preclinical/laboratory: phage biology, genomics, structural, CRISPR, biosensor, in vitro or animal work; no human treatment reported","claude-opus-5 (title stage, LLM-assisted; pending human verification)",2026-08-04T06:25:41
28472930,EXCLUDE,"preclinical/laboratory: phage biology, genomics, structural, CRISPR, biosensor, in vitro or animal work; no human treatment reported","claude-opus-5 (title stage, LLM-assisted; pending human verification)",2026-08-04T06:25:41
28498372,EXCLUDE,"preclinical/laboratory: phage biology, genomics, structural, CRISPR, biosensor, in vitro or animal work; no human treatment reported","claude-opus-5 (title stage, LLM-assisted; pending human verification)",2026-08-04T06:25:41
28551403,EXCLUDE,"preclinical/laboratory: phage biology, genomics, structural, CRISPR, biosensor, in vitro or animal work; no human treatment reported","claude-opus-5 (title stage, LLM-assisted; pending human verification)",2026-08-04T06:25:41
28574055,EXCLUDE,"preclinical/laboratory: phage biology, genomics, structural, CRISPR, biosensor, in vitro or animal work; no human treatment reported","claude-opus-5 (title stage, LLM-assisted; pending human verification)",2026-08-04T06:25:41
28578557,EXCLUDE,"preclinical/laboratory: phage biology, genomics, structural, CRISPR, biosensor, in vitro or animal work; no human treatment reported","claude-opus-5 (title stage, LLM-assisted; pending human verification)",2026-08-04T06:25:41
28583189,ADVANCE,case report: phage for colistin-only-sensitive P. aeruginosa septicaemia in a patient,"claude-opus-5 (title stage, LLM-assisted; pending human verification)",2026-08-04T06:25:41
28606056,EXCLUDE,"preclinical/laboratory: phage biology, genomics, structural, CRISPR, biosensor, in vitro or animal work; no human treatment reported","claude-opus-5 (title stage, LLM-assisted; pending human verification)",2026-08-04T06:25:41
28611496,EXCLUDE,"preclinical/laboratory: phage biology, genomics, structural, CRISPR, biosensor, in vitro or animal work; no human treatment reported","claude-opus-5 (title stage, LLM-assisted; pending human verification)",2026-08-04T06:25:41
28622385,EXCLUDE,"preclinical/laboratory: phage biology, genomics, structural, CRISPR, biosensor, in vitro or animal work; no human treatment reported","claude-opus-5 (title stage, LLM-assisted; pending human verification)",2026-08-04T06:25:41
28636321,EXCLUDE,"preclinical/laboratory: phage biology, genomics, structural, CRISPR, biosensor, in vitro or animal work; no human treatment reported","claude-opus-5 (title stage, LLM-assisted; pending human verification)",2026-08-04T06:25:41
28649138,EXCLUDE,"preclinical/laboratory: phage biology, genomics, structural, CRISPR, biosensor, in vitro or animal work; no human treatment reported","claude-opus-5 (title stage, LLM-assisted; pending human verification)",2026-08-04T06:25:41
28651167,EXCLUDE,"preclinical/laboratory: phage biology, genomics, structural, CRISPR, biosensor, in vitro or animal work; no human treatment reported","claude-opus-5 (title stage, LLM-assisted; pending human verification)",2026-08-04T06:25:41
28682742,EXCLUDE,"preclinical/laboratory: phage biology, genomics, structural, CRISPR, biosensor, in vitro or animal work; no human treatment reported","claude-opus-5 (title stage, LLM-assisted; pending human verification)",2026-08-04T06:25:41
28687515,EXCLUDE,"preclinical/laboratory: phage biology, genomics, structural, CRISPR, biosensor, in vitro or animal work; no human treatment reported","claude-opus-5 (title stage, LLM-assisted; pending human verification)",2026-08-04T06:25:41
28713356,EXCLUDE,"preclinical/laboratory: phage biology, genomics, structural, CRISPR, biosensor, in vitro or animal work; no human treatment reported","claude-opus-5 (title stage, LLM-assisted; pending human verification)",2026-08-04T06:25:41
28719657,EXCLUDE,"preclinical/laboratory: phage biology, genomics, structural, CRISPR, biosensor, in vitro or animal work; no human treatment reported","claude-opus-5 (title stage, LLM-assisted; pending human verification)",2026-08-04T06:25:41
28720345,ADVANCE,"phage therapy in cystic fibrosis, human interactions and delivery; may report patients","claude-opus-5 (title stage, LLM-assisted; pending human verification)",2026-08-04T06:25:41
28733718,EXCLUDE,"preclinical/laboratory: phage biology, genomics, structural, CRISPR, biosensor, in vitro or animal work; no human treatment reported","claude-opus-5 (title stage, LLM-assisted; pending human verification)",2026-08-04T06:25:41
28750102,EXCLUDE,"preclinical/laboratory: phage biology, genomics, structural, CRISPR, biosensor, in vitro or animal work; no human treatment reported","claude-opus-5 (title stage, LLM-assisted; pending human verification)",2026-08-04T06:25:41
28771128,EXCLUDE,"preclinical/laboratory: phage biology, genomics, structural, CRISPR, biosensor, in vitro or animal work; no human treatment reported","claude-opus-5 (title stage, LLM-assisted; pending human verification)",2026-08-04T06:25:41
28805554,EXCLUDE,"preclinical/laboratory: phage biology, genomics, structural, CRISPR, biosensor, in vitro or animal work; no human treatment reported","claude-opus-5 (title stage, LLM-assisted; pending human verification)",2026-08-04T06:25:41
28808331,EXCLUDE,"preclinical/laboratory: phage biology, genomics, structural, CRISPR, biosensor, in vitro or animal work; no human treatment reported","claude-opus-5 (title stage, LLM-assisted; pending human verification)",2026-08-04T06:25:41
28813669,EXCLUDE,"preclinical/laboratory: phage biology, genomics, structural, CRISPR, biosensor, in vitro or animal work; no human treatment reported","claude-opus-5 (title stage, LLM-assisted; pending human verification)",2026-08-04T06:25:41
28842338,EXCLUDE,"preclinical/laboratory: phage biology, genomics, structural, CRISPR, biosensor, in vitro or animal work; no human treatment reported","claude-opus-5 (title stage, LLM-assisted; pending human verification)",2026-08-04T06:25:41
28842374,EXCLUDE,"preclinical/laboratory: phage biology, genomics, structural, CRISPR/anti-CRISPR, biosensor, in vitro biofilm, environmental or animal work; no human treatment reported","claude-opus-5 (title stage, LLM-assisted; pending human verification)",2026-08-04T06:27:06
28854668,ADVANCE,review of current and future therapies in cystic fibrosis patients,"claude-opus-5 (title stage, LLM-assisted; pending human verification)",2026-08-04T06:27:06
28890220,EXCLUDE,"preclinical/laboratory: phage biology, genomics, structural, CRISPR/anti-CRISPR, biosensor, in vitro biofilm, environmental or animal work; no human treatment reported","claude-opus-5 (title stage, LLM-assisted; pending human verification)",2026-08-04T06:27:06
28912771,EXCLUDE,"preclinical/laboratory: phage biology, genomics, structural, CRISPR/anti-CRISPR, biosensor, in vitro biofilm, environmental or animal work; no human treatment reported","claude-opus-5 (title stage, LLM-assisted; pending human verification)",2026-08-04T06:27:06
28914348,EXCLUDE,"preclinical/laboratory: phage biology, genomics, structural, CRISPR/anti-CRISPR, biosensor, in vitro biofilm, environmental or animal work; no human treatment reported","claude-opus-5 (title stage, LLM-assisted; pending human verification)",2026-08-04T06:27:06
28957508,EXCLUDE,"preclinical/laboratory: phage biology, genomics, structural, CRISPR/anti-CRISPR, biosensor, in vitro biofilm, environmental or animal work; no human treatment reported","claude-opus-5 (title stage, LLM-assisted; pending human verification)",2026-08-04T06:27:06
28964812,EXCLUDE,"preclinical/laboratory: phage biology, genomics, structural, CRISPR/anti-CRISPR, biosensor, in vitro biofilm, environmental or animal work; no human treatment reported","claude-opus-5 (title stage, LLM-assisted; pending human verification)",2026-08-04T06:27:06
28982395,EXCLUDE,"preclinical/laboratory: phage biology, genomics, structural, CRISPR/anti-CRISPR, biosensor, in vitro biofilm, environmental or animal work; no human treatment reported","claude-opus-5 (title stage, LLM-assisted; pending human verification)",2026-08-04T06:27:06
28985564,EXCLUDE,"preclinical/laboratory: phage biology, genomics, structural, CRISPR/anti-CRISPR, biosensor, in vitro biofilm, environmental or animal work; no human treatment reported","claude-opus-5 (title stage, LLM-assisted; pending human verification)",2026-08-04T06:27:06
28992111,ADVANCE,"case report: refractory Pseudomonas bacteraemia in a 2-year-old, phage therapy","claude-opus-5 (title stage, LLM-assisted; pending human verification)",2026-08-04T06:27:06
29018773,ADVANCE,phage activity on isolates from chronic rhinosinusitis patients; clinical-adjacent,"claude-opus-5 (title stage, LLM-assisted; pending human verification)",2026-08-04T06:27:06
29026171,EXCLUDE,"preclinical/laboratory: phage biology, genomics, structural, CRISPR/anti-CRISPR, biosensor, in vitro biofilm, environmental or animal work; no human treatment reported","claude-opus-5 (title stage, LLM-assisted; pending human verification)",2026-08-04T06:27:06
29058870,EXCLUDE,"preclinical/laboratory: phage biology, genomics, structural, CRISPR/anti-CRISPR, biosensor, in vitro biofilm, environmental or animal work; no human treatment reported","claude-opus-5 (title stage, LLM-assisted; pending human verification)",2026-08-04T06:27:06
